{'ip': '220.248.6.230', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.42.9', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.146.4', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.98.246', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.209.211', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.158.205', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.79.75', 'other': 'NOERROR', 'type': '4'}
{'ip': '220.248.158.210', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.0.252', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.185.247', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.104.74', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.248.16.126', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.50.10', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.74.62', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.126.22', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.15.7', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.250.64.17', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.1.18', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.189.82', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.13.178', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.190.130', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.237.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.44.34', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.125.70', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.181.211', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.66.96', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.112.106', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.33.125', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.46.94', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.75.27', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '223.167.191.30', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.91.64', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.7.109', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.50.96', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.186.111', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.167.34.222', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.245.216', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.250.0', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.73.100', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.46.142', 'other': 'NXDOMAIN', 'type': '3'}
